,country,year,pop,avh,rgdpe,gdp per capita,vacation days,productivity,gdp per vac days
629,United Kingdom,2019,67.530172,1667.947711,3118991.25,46186.632695086286,32.5,27.690695811678406,95968.96153846153
630,Ireland,1950,2.92115649,2419.41115,16315.01855,5585.123085959698,20.0,2.3084638119319645,815.7509275
631,Ireland,1951,2.91750193,2407.575037,15847.85352,5431.994185518843,20.0,2.256209713939995,792.392676
632,Ireland,1952,2.910448073,2395.796828,16956.74414,5826.162747003251,20.0,2.431826722079311,847.8372069999999
633,Ireland,1953,2.905671383,2384.07624,17826.9043,6135.2100599877085,20.0,2.5734118553136995,891.3452149999999
634,Ireland,1954,2.895278403,2372.41299,18022.24805,6224.70296166541,20.0,2.6237855668061445,901.1124024999999
635,Ireland,1955,2.874933867,2360.806799,18308.08594,6368.176377950749,20.0,2.697457657546652,915.404297
636,Ireland,1956,2.854348875,2349.257387,18015.07617,6311.4485856253295,20.0,2.6865717739362074,900.7538085
637,Ireland,1957,2.837556653,2337.764476,17944.26367,6323.843314644827,20.0,2.705081448352382,897.2131835
638,Ireland,1958,2.811235731,2326.327791,17944.87695,6383.2700872853275,20.0,2.7439254742950054,897.2438475000001
639,Ireland,1959,2.802874525,2314.947055,18911.97852,6747.3511037744365,20.0,2.91468916716734,945.598926
640,Ireland,1960,2.791989585,2303.621996,19725.81445,7065.146143802683,20.0,3.066972861029533,986.2907225000001
641,Ireland,1961,2.77848313,2306.615742,20698.91992,7449.719487769573,20.0,3.2297184798149936,1034.945996
642,Ireland,1962,2.790017749,2309.613378,21316.13672,7640.143768848833,20.0,3.307975196898445,1065.806836
643,Ireland,1963,2.809735171,2312.61491,22303.98633,7938.109811986975,20.0,3.432525569934588,1115.1993165
644,Ireland,1964,2.823537554,2315.620343,23373.36523,8278.04298083014,20.0,3.5748705550347375,1168.6682615
645,Ireland,1965,2.835367866,2318.629682,23711.12695,8362.62808587533,20.0,3.6067113911273267,1185.5563475000001
646,Ireland,1966,2.843254976,2321.642932,24323.13086,8554.67802406477,20.0,3.6847518221483204,1216.156543
647,Ireland,1967,2.859127446,2324.660098,25973.80859,9084.522841518692,20.0,3.9078929643669107,1298.6904295
648,Ireland,1968,2.871352172,2327.681184,27782.67969,9675.81753325938,20.0,4.156848283076288,1389.1339845
649,Ireland,1969,2.884267241,2330.706197,29369.35547,10182.605499418769,20.0,4.368892789887223,1468.4677735
